Created,Caller Postcode,Noise type,Sr_Num,Enq_Type
26/09/2017 20:29,LS11 5E,DOG BARKING,OutofHours,OutofHours
26/09/2017 19:00,LS11 7,MUSIC,OutofHours,OutofHours
26/09/2017 18:44,LS6 1,MUSIC,OutofHours,OutofHours
26/09/2017 03:45,LS9 7,TV,OutofHours,OutofHours
26/09/2017 03:06,LS12 1,MUSIC,OutofHours,OutofHours
26/09/2017 00:51,LS6 1,PARTY,OutofHours,OutofHours
26/09/2017 00:45,LS6 1,MUSIC,OutofHours,OutofHours
25/09/2017 23:55,LS6 1,MUSIC,OutofHours,OutofHours
25/09/2017 23:25,LS6 1,PARTY,OutofHours,OutofHours
25/09/2017 23:14,LS6 3,MUSIC,OutofHours,OutofHours
25/09/2017 22:50,LS14 6,MUSIC,OutofHours,OutofHours
25/09/2017 22:23,LS6 3,PARTY,OutofHours,OutofHours
25/09/2017 22:22,LS16 6,DIY,OutofHours,OutofHours
25/09/2017 22:17,LS16 6,MUSIC,OutofHours,OutofHours
25/09/2017 22:08,LS7 4,TV,OutofHours,OutofHours
25/09/2017 21:54,LS6 3,MUSIC,OutofHours,OutofHours
25/09/2017 21:46,LS26 8,MUSIC,OutofHours,OutofHours
25/09/2017 21:45,LS8 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
25/09/2017 21:43,LS6 3,MUSIC,OutofHours,OutofHours
25/09/2017 21:40,LS13 3,DOG BARKING,OutofHours,OutofHours
25/09/2017 20:50,LS11 9,ALARM,OutofHours,OutofHours
25/09/2017 20:45,LS26 8,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
25/09/2017 20:42,LS7 4,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
25/09/2017 20:42,LS26 8,SHOUTING,OutofHours,OutofHours
25/09/2017 18:18,LS11 5,DOG BARKING,OutofHours,OutofHours
25/09/2017 18:15,LS7 4,TV,OutofHours,OutofHours
25/09/2017 18:06,LS8 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
25/09/2017 04:39,LS8 3,MUSIC,OutofHours,OutofHours
25/09/2017 01:50,LS6 1,PARTY,OutofHours,OutofHours
25/09/2017 01:21,LS2 7,MUSIC,OutofHours,OutofHours
25/09/2017 01:17,LS27 7,MUSIC,OutofHours,OutofHours
25/09/2017 01:07,LS13 3,SHOUTING,OutofHours,OutofHours
25/09/2017 00:46,LS13 1,MUSIC,OutofHours,OutofHours
25/09/2017 00:40,LS12 5,DOG BARKING,OutofHours,OutofHours
24/09/2017 23:31,LS16 6,DIY,OutofHours,OutofHours
24/09/2017 23:02,LS12 5,DOG BARKING,OutofHours,OutofHours
24/09/2017 22:00,LS8 3,MUSIC,OutofHours,OutofHours
24/09/2017 21:53,LS6 3,MUSIC,OutofHours,OutofHours
24/09/2017 21:35,LS8 3,MUSIC,OutofHours,OutofHours
24/09/2017 21:31,LS8 3,MUSIC,OutofHours,OutofHours
24/09/2017 21:26,LS12 4,ALARM,OutofHours,OutofHours
24/09/2017 21:01,LS8 3N,MUSIC,OutofHours,OutofHours
24/09/2017 20:57,LS26 8,SHOUTING,OutofHours,OutofHours
24/09/2017 20:52,LS8 3,MUSIC,OutofHours,OutofHours
24/09/2017 20:47,LS7 4,TV,OutofHours,OutofHours
24/09/2017 20:15,LS6 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
24/09/2017 19:32,LS9 6,MUSIC,OutofHours,OutofHours
24/09/2017 19:28,LS26 8,MUSIC,OutofHours,OutofHours
24/09/2017 19:26,LS12 5,MUSIC,OutofHours,OutofHours
24/09/2017 18:56,LS27 7,MUSIC,OutofHours,OutofHours
24/09/2017 15:45,LS27 9,DOG BARKING,OutofHours,OutofHours
24/09/2017 14:49,LS22 7,MUSIC,OutofHours,OutofHours
24/09/2017 13:34,LS13 3,DOG BARKING,OutofHours,OutofHours
24/09/2017 13:17,LS14 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
24/09/2017 11:19,LS142,,OutofHours,OutofHours
24/09/2017 10:27,LS104,DIY,OutofHours,OutofHours
24/09/2017 10:17,LS125,DOG BARKING,OutofHours,OutofHours
24/09/2017 10:10,LS104,DIY,OutofHours,OutofHours
24/09/2017 10:01,LS10 4,DIY,OutofHours,OutofHours
24/09/2017 09:52,LS104,DIY,OutofHours,OutofHours
24/09/2017 05:47,LS8 3,PARTY,OutofHours,OutofHours
24/09/2017 05:25,LS9 6,MUSIC,OutofHours,OutofHours
24/09/2017 04:43,Ls6 1,PARTY,OutofHours,OutofHours
24/09/2017 03:14,LS8 3,MUSIC,OutofHours,OutofHours
24/09/2017 02:59,LS16 6,MUSIC,OutofHours,OutofHours
24/09/2017 02:47,LS9 6,MUSIC,OutofHours,OutofHours
24/09/2017 02:42,LS6 3,MUSIC,OutofHours,OutofHours
24/09/2017 02:25,LS5 2 ,MUSIC,OutofHours,OutofHours
24/09/2017 02:20,L,MUSIC,OutofHours,OutofHours
24/09/2017 01:51,LS6 1,MUSIC,OutofHours,OutofHours
24/09/2017 01:48,LS15 0,MUSIC,OutofHours,OutofHours
24/09/2017 01:31,LS4 2,MUSIC,OutofHours,OutofHours
24/09/2017 01:15,LS9 6,MUSIC,OutofHours,OutofHours
24/09/2017 01:03,LS6 0,MUSIC,OutofHours,OutofHours
24/09/2017 00:55,LS12 3,TV,OutofHours,OutofHours
24/09/2017 00:48,LS6 1,MUSIC,OutofHours,OutofHours
24/09/2017 00:37,LS4 2,MUSIC,OutofHours,OutofHours
24/09/2017 00:34,LS8 5,TV,OutofHours,OutofHours
24/09/2017 00:31,LS1 4,MUSIC,OutofHours,OutofHours
24/09/2017 00:27,LS6 1,MUSIC,OutofHours,OutofHours
24/09/2017 00:22,LS6 1,MUSIC,OutofHours,OutofHours
24/09/2017 00:13,LS16 6,MUSIC,OutofHours,OutofHours
23/09/2017 23:39,LS6 1,MUSIC,OutofHours,OutofHours
23/09/2017 23:28,LS25 3,MUSIC,OutofHours,OutofHours
23/09/2017 23:17,LS11 5,SHOUTING,OutofHours,OutofHours
23/09/2017 23:07,LS4 2,MUSIC,OutofHours,OutofHours
23/09/2017 22:54,LS6 1,MUSIC,OutofHours,OutofHours
23/09/2017 22:41,LS5 2,MUSIC,OutofHours,OutofHours
23/09/2017 22:37,LS16 6,MUSIC,OutofHours,OutofHours
23/09/2017 22:23,LS13 2,PARTY,OutofHours,OutofHours
23/09/2017 21:55,LS15 9,MUSIC,OutofHours,OutofHours
23/09/2017 21:51,LS27 7,MUSIC,OutofHours,OutofHours
23/09/2017 21:25,LS12 1,MUSIC,OutofHours,OutofHours
23/09/2017 21:21,LS12 2,MUSIC,OutofHours,OutofHours
23/09/2017 21:18,LS26 0,MUSIC,OutofHours,OutofHours
23/09/2017 20:42,LS14 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
23/09/2017 20:34,LS9 7,MUSIC,OutofHours,OutofHours
23/09/2017 20:12,LS12 5,MUSIC,OutofHours,OutofHours
23/09/2017 20:08,LS9 7,MUSIC,OutofHours,OutofHours
23/09/2017 19:47,LS6 1,MUSIC,OutofHours,OutofHours
23/09/2017 19:39,LS13 4,DOG BARKING,OutofHours,OutofHours
23/09/2017 18:58,LS9 6,MUSIC,OutofHours,OutofHours
23/09/2017 18:48,LS16 6,MUSIC,OutofHours,OutofHours
23/09/2017 18:22,LS12 5,MUSIC,OutofHours,OutofHours
23/09/2017 18:15,LS9 7,MUSIC,OutofHours,OutofHours
23/09/2017 12:36,LS103,PARTY,OutofHours,OutofHours
23/09/2017 11:58,LS12 5,MUSIC,OutofHours,OutofHours
23/09/2017 11:33,LS141,SHOUTING,OutofHours,OutofHours
23/09/2017 11:26,LS6 3,MUSIC,OutofHours,OutofHours
23/09/2017 10:09,HG5 8,MUSIC,OutofHours,OutofHours
23/09/2017 10:07,LS116,MUSIC,OutofHours,OutofHours
23/09/2017 03:06,LS6 3,MUSIC,OutofHours,OutofHours
23/09/2017 02:38,LS6 1,MUSIC,OutofHours,OutofHours
23/09/2017 02:27,LS6 1,MUSIC,OutofHours,OutofHours
23/09/2017 02:20,LS8 3,PARTY,OutofHours,OutofHours
23/09/2017 01:47,LS12 3,SHOUTING,OutofHours,OutofHours
23/09/2017 01:14,LS9 0,MUSIC,OutofHours,OutofHours
23/09/2017 01:10,LS9 6,PARTY,OutofHours,OutofHours
23/09/2017 00:47,LS9 7,TV,OutofHours,OutofHours
23/09/2017 00:41,LS1 6,MUSIC,OutofHours,OutofHours
23/09/2017 00:36,LS9 8,MUSIC,OutofHours,OutofHours
23/09/2017 00:10,LS6 1,PARTY,OutofHours,OutofHours
22/09/2017 23:45,LS9 6,MUSIC,OutofHours,OutofHours
22/09/2017 23:35,LS10 3,MUSIC,OutofHours,OutofHours
22/09/2017 23:28,LS11 0,MUSIC,OutofHours,OutofHours
22/09/2017 23:20,LS3 1,SHOUTING,OutofHours,OutofHours
22/09/2017 22:45,LS6 1,SHOUTING,OutofHours,OutofHours
22/09/2017 22:42,LS6 1,MUSIC,OutofHours,OutofHours
22/09/2017 22:20,LS9 8,MUSIC,OutofHours,OutofHours
22/09/2017 22:17,LS20 9,BUILDING SITE,OutofHours,OutofHours
22/09/2017 22:11,LS9 7,MUSIC,OutofHours,OutofHours
22/09/2017 22:02,LS13 3,MUSIC,OutofHours,OutofHours
22/09/2017 21:58,LS13 4,MUSIC,OutofHours,OutofHours
22/09/2017 21:51,LS13 3,PARTY,OutofHours,OutofHours
22/09/2017 21:26,LS6 4,MUSIC,OutofHours,OutofHours
22/09/2017 21:17,LS8 2,MUSIC,OutofHours,OutofHours
22/09/2017 20:19,LS28 5,DOG BARKING,OutofHours,OutofHours
22/09/2017 07:26,LS14 5,MUSIC,OutofHours,OutofHours
22/09/2017 05:25,LS6 3,MUSIC,OutofHours,OutofHours
22/09/2017 04:21,LS6 1,MUSIC,OutofHours,OutofHours
22/09/2017 04:08,LS18 5,MUSIC,OutofHours,OutofHours
22/09/2017 02:55,LS12 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
22/09/2017 01:54,LS9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
22/09/2017 01:51,LS6 1,MUSIC,OutofHours,OutofHours
22/09/2017 01:29,LS28 8,MUSIC,OutofHours,OutofHours
22/09/2017 01:20,LS6 1,SHOUTING,OutofHours,OutofHours
22/09/2017 00:20,LS3 1,MUSIC,OutofHours,OutofHours
22/09/2017 00:18,LS12 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
21/09/2017 23:55,LS6 2,MUSIC,OutofHours,OutofHours
21/09/2017 23:44,LS6 1,MUSIC,OutofHours,OutofHours
21/09/2017 23:41,LS6 1,SHOUTING,OutofHours,OutofHours
21/09/2017 23:19,LS9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
21/09/2017 22:50,LS28 5,DOG BARKING,OutofHours,OutofHours
21/09/2017 22:41,LS6 1,MUSIC,OutofHours,OutofHours
21/09/2017 22:19,LS2 8,MUSIC,OutofHours,OutofHours
21/09/2017 21:54,LS16 5,MUSIC,OutofHours,OutofHours
21/09/2017 21:36,LS7 3,MUSIC,OutofHours,OutofHours
21/09/2017 21:26,LS16 6,MUSIC,OutofHours,OutofHours
21/09/2017 20:17,LS7 3,MUSIC,OutofHours,OutofHours
21/09/2017 20:12,LS6 4,MUSIC,OutofHours,OutofHours
21/09/2017 19:46,LS15 0H,DOG BARKING,OutofHours,OutofHours
21/09/2017 19:35,LS15 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
21/09/2017 19:25,LS15 0H,DOG BARKING,OutofHours,OutofHours
21/09/2017 18:33,LS8 2,MUSIC,OutofHours,OutofHours
21/09/2017 18:20,LS13 3,MUSIC,OutofHours,OutofHours
21/09/2017 18:08,LS6 1F,PARTY,OutofHours,OutofHours
21/09/2017 08:57,LS6 1,MUSIC,OutofHours,OutofHours
21/09/2017 07:29,LS61,MUSIC,OutofHours,OutofHours
21/09/2017 05:00,LS14 6,MUSIC,OutofHours,OutofHours
21/09/2017 03:43,LS14 1,MUSIC,OutofHours,OutofHours
21/09/2017 03:29,LS6 1,MUSIC,OutofHours,OutofHours
21/09/2017 03:16,LS15 7,SHOUTING,OutofHours,OutofHours
21/09/2017 02:51,LS7 3,MUSIC,OutofHours,OutofHours
21/09/2017 01:51,LS7 3,MUSIC,OutofHours,OutofHours
21/09/2017 01:47,LS14 6,MUSIC,OutofHours,OutofHours
21/09/2017 01:23,LS11 0,MUSIC,OutofHours,OutofHours
21/09/2017 01:10,LS19 7,MUSIC,OutofHours,OutofHours
21/09/2017 01:06,LS8 3,MUSIC,OutofHours,OutofHours
21/09/2017 00:50,LS7 3,MUSIC,OutofHours,OutofHours
21/09/2017 00:26,LS15 7,PARTY,OutofHours,OutofHours
21/09/2017 00:18,LS6 1,MUSIC,OutofHours,OutofHours
20/09/2017 23:43,LS2 8,PARTY,OutofHours,OutofHours
20/09/2017 23:23,LS6 1,PARTY,OutofHours,OutofHours
20/09/2017 23:18,LS6 1,SHOUTING,OutofHours,OutofHours
20/09/2017 23:01,LS10 4,PARTY,OutofHours,OutofHours
20/09/2017 22:29,LS6 1,SHOUTING,OutofHours,OutofHours
20/09/2017 22:25,LS10 3,DOG BARKING,OutofHours,OutofHours
20/09/2017 22:15,LS8 3,DIY,OutofHours,OutofHours
20/09/2017 21:54,LS6 3,MUSIC,OutofHours,OutofHours
20/09/2017 21:43,LS6 1,ALARM,OutofHours,OutofHours
20/09/2017 21:38,LS7 4,TV,OutofHours,OutofHours
20/09/2017 21:38,LS3 1,MUSIC,OutofHours,OutofHours
20/09/2017 21:09,LS6 1,MUSIC,OutofHours,OutofHours
20/09/2017 21:05,LS6 1,SHOUTING,OutofHours,OutofHours
20/09/2017 20:25,LS13 4,DIY,OutofHours,OutofHours
20/09/2017 19:34,LS21 1T,DIY,OutofHours,OutofHours
20/09/2017 18:15,WF3 2H,MUSIC,OutofHours,OutofHours
20/09/2017 18:11,LS7 4N,MUSIC,OutofHours,OutofHours
20/09/2017 09:52,LS10 4,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
20/09/2017 04:59,LS6 3,MUSIC,OutofHours,OutofHours
20/09/2017 04:52,LS6 3,MUSIC,OutofHours,OutofHours
20/09/2017 04:36,LS6 1,PARTY,OutofHours,OutofHours
20/09/2017 03:50,LS12 3,MUSIC,OutofHours,OutofHours
20/09/2017 03:19,LS6 3,MUSIC,OutofHours,OutofHours
20/09/2017 03:13,LS18 5,MUSIC,OutofHours,OutofHours
20/09/2017 02:38,LS6 1,MUSIC,OutofHours,OutofHours
20/09/2017 02:00,LS6 3,MUSIC,OutofHours,OutofHours
20/09/2017 00:58,LS6 1,SHOUTING,OutofHours,OutofHours
20/09/2017 00:23,LS6 3,MUSIC,OutofHours,OutofHours
19/09/2017 23:09,LS6 1,SHOUTING,OutofHours,OutofHours
19/09/2017 22:50,LS6 1,MUSIC,OutofHours,OutofHours
19/09/2017 22:43,LS27 9,DOG BARKING,OutofHours,OutofHours
19/09/2017 22:25,LS6 1,PARTY,OutofHours,OutofHours
19/09/2017 20:56,LS7 4,TV,OutofHours,OutofHours
19/09/2017 20:46,LS9 6,SHOUTING,OutofHours,OutofHours
19/09/2017 19:59,LS28 7,DOG BARKING,OutofHours,OutofHours
19/09/2017 18:59,LS6 1B,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
19/09/2017 18:21,LS6 1B,BUILDING SITE,OutofHours,OutofHours
19/09/2017 18:11,LS13 3D,DOG BARKING,OutofHours,OutofHours
19/09/2017 05:57,LS6 3,MUSIC,OutofHours,OutofHours
19/09/2017 01:58,#VALUE!,,OutofHours,OutofHours
19/09/2017 01:16,LS10 4,MUSIC,OutofHours,OutofHours
19/09/2017 01:12,LS6 1,SHOUTING,OutofHours,OutofHours
19/09/2017 01:05,LS6 2,MUSIC,OutofHours,OutofHours
19/09/2017 00:52,LS6 1,SHOUTING,OutofHours,OutofHours
19/09/2017 00:17,LS12 2,SHOUTING,OutofHours,OutofHours
19/09/2017 00:14,LS6 1,SHOUTING,OutofHours,OutofHours
