Created,Caller,Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq_Type
07/04/2020,LS10,LS10 1,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS9,LS9 8,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/04/2020,LS17,LS17 7,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS14,LS14 5,OTHER,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/04/2020,LS5,LS5 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2020,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS14,LS14 4,MUSIC,Out ofHours,Out ofHours
07/04/2020,WF3,WF3 3,OTHER,Out ofHours,Out ofHours
07/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS13,LS13 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2020,LS14,LS14 6,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS13,LS13 4,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
07/04/2020,LS13,LS13 3,SHOUTING,Out ofHours,Out ofHours
07/04/2020,LS13,LS13 3,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
07/04/2020,LS23,LS23 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/04/2020,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS13,LS13 3,SHOUTING,Out ofHours,Out ofHours
08/04/2020,LS16,LS16 7,SHOUTING,Out ofHours,Out ofHours
08/04/2020,LS10,LS10 3,OTHER,Out ofHours,Out ofHours
08/04/2020,LS17,LS17 7,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS13,LS13 3,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS13,LS13 3,SHOUTING,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 2,SHOUTING,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 3,ALARM,Out ofHours,Out ofHours
08/04/2020,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS7,LS7 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/04/2020,LS7,LS7 1,PARTY,Out ofHours,Out ofHours
08/04/2020,LS7,LS7 1,SHOUTING,Out ofHours,Out ofHours
08/04/2020,LS14,LS14 5,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS16,LS16 6,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS12,LS12 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/04/2020,LS8,LS8 4,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
08/04/2020,WF3,WF3 2,DOG BARKING,Out ofHours,Out ofHours
08/04/2020,LS9,LS9 7,PARTY,Out ofHours,Out ofHours
08/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS11,LS11 0,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS9,LS9 7,TV,Out ofHours,Out ofHours
08/04/2020,LS10,LS10 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS11,LS11 0,MUSIC,Out ofHours,Out ofHours
08/04/2020,LS14,LS14 2,PARTY,Out ofHours,Out ofHours
08/04/2020,LS5,LS5 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/04/2020,LS6,LS6 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2020,LS9,LS9 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2020,LS17,LS17 5,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS17,LS17 6,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS27,LS27 8,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS27,LS27 8,MUSIC,Out ofHours,Out ofHours
09/04/2020,LS6,LS6 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
09/04/2020,LS17,LS17 6,SHOUTING,Out ofHours,Out ofHours
09/04/2020,LS26,LS26 8,SHOUTING,Out ofHours,Out ofHours
09/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
10/04/2020,LS22,LS22 6,SHOUTING,Out ofHours,Out ofHours
10/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS13,LS13 4,PARTY,Out ofHours,Out ofHours
10/04/2020,LS13,LS13 4,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS10,LS10 3,OTHER,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 1,PARTY,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 3,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS17,LS17 6,TV,Out ofHours,Out ofHours
10/04/2020,LS17,LS17 5,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS9,LS9 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 3,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS7,LS7 3,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS17,LS17 6,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS7,LS7 1,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS4,LS4 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2020,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 3,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2020,LS26,LS26 0,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
10/04/2020,LS9,LS9 0,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS9,LS9 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2020,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
10/04/2020,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS12,LS12 4,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS11,LS11 O,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS9,LS9 6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
10/04/2020,LS13,LS13 1,TV,Out ofHours,Out ofHours
10/04/2020,LS16,LS16 6,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS16,LS16 6,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS27,LS27 7,MUSIC,Out ofHours,Out ofHours
10/04/2020,LS27,LS27 8,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS25,LS25 4,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS27,LS27 9,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS14,LS14 2,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS10,LS10 4,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS14,LS14 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS14,LS14 6,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS8,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/04/2020,LS15,LS15 9,DIY,Out ofHours,Out ofHours
11/04/2020,LS18,LS18 4,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS8,LS8 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS13,LS13 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,WF3,WF3 2,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
11/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS13,LS13 1,DOG BARKING,Out ofHours,Out ofHours
11/04/2020,LS17,LS17 5,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS9,LS9 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
11/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS6,LS6 3,SHOUTING,Out ofHours,Out ofHours
11/04/2020,LS12,LS12 1,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS14,LS14 6,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS28,LS28 5,SHOUTING,Out ofHours,Out ofHours
11/04/2020,LS17,LS17 6,PARTY,Out ofHours,Out ofHours
11/04/2020,LS13,LS13 3,MUSIC,Out ofHours,Out ofHours
11/04/2020,LS14,LS14 5,OTHER,Out ofHours,Out ofHours
11/04/2020,LS10,LS10 3,SHOUTING,Out ofHours,Out ofHours
11/04/2020,LS13,LS13 3,SHOUTING,Out ofHours,Out ofHours
11/04/2020,LS3,LS3 1,SHOUTING,Out ofHours,Out ofHours
12/04/2020,LS12,LS12 3,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS9,LS9 6,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS7,LS7 1,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS7,LS7 1,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS27,LS27 9,OTHER,Out ofHours,Out ofHours
12/04/2020,LS12,LS12 3,PARTY,Out ofHours,Out ofHours
12/04/2020,LS9,LS9 0,MUSIC,Out ofHours,Out ofHours
12/04/2020,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
