Created,Caller Postcode,Accused,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
09-May-24,LS11 ,LS11 0,Loud Music,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
09-May-24,LS11 ,LS11 5,Party,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
09-May-24,LS14 ,LS14 1,TV,Out ofHours,Out ofHours
09-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6,Party,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Party,Out ofHours,Out ofHours
10-May-24,LS13 ,LS13,Loud Music,Out ofHours,Out ofHours
10-May-24,LS1 ,LS1 4,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS19 ,LS19 7,Shouting,Out ofHours,Out ofHours
10-May-24,LS8 ,LS8 3,Loud Music,Out ofHours,Out ofHours
10-May-24,LS10 ,LS10 2,Loud Music,Out ofHours,Out ofHours
10-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
10-May-24,LS9 ,LS9 8,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS26 ,LS26 0,Loud Music,Out ofHours,Out ofHours
10-May-24,LS11 ,LS11,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS11 ,LS11 6,Shouting,Out ofHours,Out ofHours
10-May-24,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
10-May-24,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS16 ,LS18 4,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
10-May-24,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
10-May-24,WF3 ,WF3 1,Dog Barking,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
10-May-24,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
10-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
10-May-24,LS9 ,LS9 8,Party,Out ofHours,Out ofHours
10-May-24,LS21 ,LS21 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
10-May-24,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
