Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
07/09/2024,LS16 ,LS16 5,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS12 ,LS12 5,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS16 ,LS16 5,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS16 ,LS16 5,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS13 ,LS13 4,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS13 ,LS13 2,Shouting,Out ofHours,Out ofHours
07/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS21 ,LS21,Party,Out ofHours,Out ofHours
07/09/2024,LS26 ,LS26 9,Alarm,Out ofHours,Out ofHours
07/09/2024,LS9 ,LS9 9,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS1 ,LS1 4,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS4 ,LS4 2,Party,Out ofHours,Out ofHours
07/09/2024,LS28 ,LS28 6,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS9 ,LS9 7,Shouting,Out ofHours,Out ofHours
07/09/2024,BD10 ,BD10 0,Loud Music,Out ofHours,Out ofHours
07/09/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
07/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS9 ,LS9 7,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS6 ,LS6 3,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
08/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS6 ,LS6,Please select,Out ofHours,Out ofHours
08/09/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS10 ,LS10 1,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS8,LS8 4,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS7 ,LS7 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
08/09/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS12 ,LS12 3,Loud Music,Out ofHours,Out ofHours
08/09/2024,LS11 ,Ls11 0,Loud Music,Out ofHours,Out ofHours
