Created,Caller ,Noise Postcode,Type of Noise Causing a Nuisance,Sr_Num,Enq Type
03/07/2021,LS10,LS10 1,PARTY,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 4,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS7,LS7 3,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS7,LS7 4,PARTY,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS18,LS18 5,NOISE ASSOCIATED WITH LICENSED PREMISES,Out ofHours,Out ofHours
03/07/2021,LS8,LS8 3,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 4,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS16,LS16 5,PARTY,Out ofHours,Out ofHours
03/07/2021,LS12,LS12 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS26,LS26 8,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS8,LS8 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS8,LS8 1,PARTY,Out ofHours,Out ofHours
03/07/2021,LS20,LS20 9,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS11,LS11 7,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS8,LS8 2,DOG BARKING,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS7,LS7 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS8,LS8 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS8,LS8 3,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS28,LS28 5,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS5,LS5 3,SHOUTING,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS9,LS9 7,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS9,LS9 8,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS6,LS6 3,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
03/07/2021,LS7,LS7 2,PARTY,Out ofHours,Out ofHours
04/07/2021,LS10,LS10 3,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS17,LS17 7,PARTY,Out ofHours,Out ofHours
04/07/2021,LS10,LS10 2,PARTY,Out ofHours,Out ofHours
04/07/2021,LS11,LS11 8,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS8,LS8 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
04/07/2021,LS27,LS27 9,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS10,LS10 3,PARTY,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS10,LS10 4,PARTY,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
04/07/2021,LS12,LS12 6,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
04/07/2021,LS13,LS13 1,SHOUTING,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
04/07/2021,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
04/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS8,LS8 2,OTHER,Out ofHours,Out ofHours
04/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS26,LS26 0,PARTY,Out ofHours,Out ofHours
04/07/2021,LS17,LS17 6,PARTY,Out ofHours,Out ofHours
04/07/2021,LS12,LS12 4,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS8,LS8 5,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS9,LS9 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
04/07/2021,LS4,LS4 2,PARTY,Out ofHours,Out ofHours
04/07/2021,LS4,LS4 2,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS25,LS25 1,PARTY,Out ofHours,Out ofHours
04/07/2021,LS26,LS26 8,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS13,LS13 2,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS17,LS17 8,MUSIC,Out ofHours,Out ofHours
04/07/2021,LS6,LS6 1,MUSIC,Out ofHours,Out ofHours
