Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
18/06/2023,LS18,LS18 4,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS1,LS1 9,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
18/06/2023,LS1,LS1 4,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS7,LS7 4,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,WF3,WF3 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
18/06/2023,LS12,LS12 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
18/06/2023,LS7,LS7 4,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS16,LS16 5,OTHER,Out ofHours,Out ofHours
18/06/2023,LS12,LS12 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
18/06/2023,LS12,LS12 2,PARTY,Out ofHours,Out ofHours
18/06/2023,LS13,LS13 4,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
18/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS16,LS16 6,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
18/06/2023,LS8,LS8 2,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS11,LS11 5,LOUD MUSIC,Out ofHours,Out ofHours
18/06/2023,LS8,LS8 3,TV,Out ofHours,Out ofHours
18/06/2023,LS11,LS11 6,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
17/06/2023,LS16,LS16 7,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS27,LS27 8,OTHER,Out ofHours,Out ofHours
17/06/2023,LS12,LS12 4,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,PARTY,Out ofHours,Out ofHours
17/06/2023,LS12,LS12 4,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS15,LS15 0,PARTY,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 8,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS7,LS7 2,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS16,LS16 9,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS15,LS15 0,PARTY,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS20,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS16,LS16 7,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS7,LS7 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,WF10,WF10 2,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS11,LS11 6,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS14,LS14 6,SHOUTING,Out ofHours,Out ofHours
17/06/2023,LS15,LS15 0,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,WF3,WF3 1,DOG BARKING,Out ofHours,Out ofHours
17/06/2023,WF3,WF3 1,DOG BARKING,Out ofHours,Out ofHours
17/06/2023,LS8,LS8 2,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS20,LS20 9,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS11,LS11 6,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS13,LS13 4,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS26,LS26 0,DIY,Out ofHours,Out ofHours
17/06/2023,WF3,WF3 1,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
17/06/2023,LS10,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS26,LS26 0,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS7,LS7 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS1,LS1 6,SHOUTING,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 9,PARTY,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS10,LS10 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS7,LS7 2,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 6,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
17/06/2023,LS2,LS2 7,NOISE ASSOCIATED WITH LICENCED PREMISES,Out ofHours,Out ofHours
17/06/2023,LS16,LS16 5,OTHER,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS9,LS9 6,SHOUTING,Out ofHours,Out ofHours
17/06/2023,LS13,LS13 2,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 3,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
17/06/2023,LS11,LS11 0,SHOUTING,Out ofHours,Out ofHours
17/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
16/06/2023,LS28,LS28 6,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
16/06/2023,LS15,LS15 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
16/06/2023,LS6,LS6,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
16/06/2023,LS13,LS13,PARTY,Out ofHours,Out ofHours
16/06/2023,LS6,LS6,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS8,LS8,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS8,LS8,ALARM,Out ofHours,Out ofHours
16/06/2023,LS2,LS2 9,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS11,LS11,PARTY,Out ofHours,Out ofHours
16/06/2023,LS8,LS8 8,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS29,LS29 8,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS10,LS10,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS9,LS9,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS29,LS29,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS9,LS9 7,SHOUTING,Out ofHours,Out ofHours
16/06/2023,WF3,WF3 4,PARTY,Out ofHours,Out ofHours
16/06/2023,LS11,LS11 0,TV,Out ofHours,Out ofHours
16/06/2023,LS8,LS8 5,PARTY,Out ofHours,Out ofHours
16/06/2023,LS9,LS9 9,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,WF3,WF3 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS10,LS10 2,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS27,LS27 7,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS7,LS7 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS7,LS7 3,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,WF3,WF3 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS10,LS10 4,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS10,LS10 2,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS2,LS2 7,ALARM,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,SHOUTING,Out ofHours,Out ofHours
16/06/2023,LS15,LS15 0,PARTY,Out ofHours,Out ofHours
16/06/2023,LS14,LS14 2,SHOUTING,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS2,LS2 7,LOUD MUSIC,Out ofHours,Out ofHours
16/06/2023,LS10,LS10 1,PARTY,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,PARTY,Out ofHours,Out ofHours
16/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS27,LS27 7,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS8,LS8 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
15/06/2023,LS8,LS8 5,SHOUTING,Out ofHours,Out ofHours
15/06/2023,LS6,LS6 1,OTHER,Out ofHours,Out ofHours
15/06/2023,LS9,LS9 7,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS9,LS9 0,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
15/06/2023,LS11,LS11 7,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS19,LS19 7,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
15/06/2023,LS9,LS9 8,SHOUTING,Out ofHours,Out ofHours
15/06/2023,LS14,LS14 6,SHOUTING,Out ofHours,Out ofHours
15/06/2023,LS28,LS28 7,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS27,LS27 7,TV,Out ofHours,Out ofHours
15/06/2023,LS12,LS12 3,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS20,LS20 9,PARTY,Out ofHours,Out ofHours
15/06/2023,LS9,LS9 9,PARTY,Out ofHours,Out ofHours
15/06/2023,LS12,LS12 5,DIY,Out ofHours,Out ofHours
15/06/2023,LS9,LS9 9,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS6,LS6 1,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS8,LS8 5,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS11,LS11 8,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS8,LS8 3,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS11,LS11 0,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS9,LS9 0,LOUD MUSIC,Out ofHours,Out ofHours
15/06/2023,LS12,LS12 1,LOUD MUSIC,Out ofHours,Out ofHours
