Created,post code,Noise type,Sr_Num,Enq_Type
22/03/2017 00:44,LS9 8,MUSIC,OutofHours,OutofHours
22/03/2017 00:19,LS8 3,MUSIC,OutofHours,OutofHours
22/03/2017 00:15,LS5 3,PARTY,OutofHours,OutofHours
22/03/2017 00:04,WF3 1,OTHER,OutofHours,OutofHours
21/03/2017 23:56,LS6 1,PARTY,OutofHours,OutofHours
21/03/2017 23:17,LS1 5,MUSIC,OutofHours,OutofHours
21/03/2017 23:13,LS6 1,PARTY,OutofHours,OutofHours
21/03/2017 22:46,LS8 3,MUSIC,OutofHours,OutofHours
21/03/2017 22:41,LS8 3,MUSIC,OutofHours,OutofHours
21/03/2017 22:20,LS17 7,MUSIC,OutofHours,OutofHours
21/03/2017 22:16,LS6 1,PARTY,OutofHours,OutofHours
21/03/2017 22:05,LS8 1,MUSIC,OutofHours,OutofHours
21/03/2017 22:03,LS15 8,MUSIC,OutofHours,OutofHours
21/03/2017 21:20,LS12 1,DOG BARKING,OutofHours,OutofHours
21/03/2017 20:59,LS8 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
21/03/2017 20:55,LS13 2,MUSIC,OutofHours,OutofHours
21/03/2017 20:35,LS6 3,MUSIC,OutofHours,OutofHours
21/03/2017 20:32,LS11 6,MUSIC,OutofHours,OutofHours
21/03/2017 19:41,LS14 1,MUSIC,OutofHours,OutofHours
21/03/2017 18:22,LS27 9,,OutofHours,OutofHours
21/03/2017 02:01,LS6 1,PARTY,OutofHours,OutofHours
21/03/2017 01:58,LS7 4,MUSIC,OutofHours,OutofHours
21/03/2017 01:23,LS25 7,MUSIC,OutofHours,OutofHours
21/03/2017 00:24,WF3 1,OTHER,OutofHours,OutofHours
20/03/2017 23:28,LS25 7,MUSIC,OutofHours,OutofHours
20/03/2017 23:02,LS11 7,MUSIC,OutofHours,OutofHours
20/03/2017 22:55,LS15 0,MUSIC,OutofHours,OutofHours
20/03/2017 22:17,LS4 2,MUSIC,OutofHours,OutofHours
20/03/2017 22:08,LS10 4,DOG BARKING,OutofHours,OutofHours
20/03/2017 22:03,LS14 6,MUSIC,OutofHours,OutofHours
20/03/2017 21:57,LS12 1,DOG BARKING,OutofHours,OutofHours
20/03/2017 21:43,LS8 5,MUSIC,OutofHours,OutofHours
20/03/2017 20:43,LS10 3A,MUSIC,OutofHours,OutofHours
20/03/2017 06:37,LS16 5,MUSIC,OutofHours,OutofHours
20/03/2017 00:42,LS6 1,MUSIC,OutofHours,OutofHours
20/03/2017 00:09,LS16 5,ALARM,OutofHours,OutofHours
19/03/2017 23:52,LS12 3,MUSIC,OutofHours,OutofHours
19/03/2017 23:24,LS6 1,MUSIC,OutofHours,OutofHours
19/03/2017 23:08,LS11 7,MUSIC,OutofHours,OutofHours
19/03/2017 22:41,LS13 2,SHOUTING,OutofHours,OutofHours
19/03/2017 22:21,LS16 5,ALARM,OutofHours,OutofHours
19/03/2017 20:19,LS13 2,MUSIC,OutofHours,OutofHours
19/03/2017 20:09,LS10 4,PARTY,OutofHours,OutofHours
19/03/2017 19:55,LS9 6,MUSIC,OutofHours,OutofHours
19/03/2017 18:55,LS13 4S,MUSIC,OutofHours,OutofHours
19/03/2017 18:34,LS8 5,MUSIC,OutofHours,OutofHours
19/03/2017 18:09,LS97,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
19/03/2017 15:20,LS8 5,MUSIC,OutofHours,OutofHours
19/03/2017 14:56,LS6 3,OTHER,OutofHours,OutofHours
19/03/2017 14:31,LS16 5,MUSIC,OutofHours,OutofHours
19/03/2017 12:32,LS10 3,,OutofHours,OutofHours
19/03/2017 11:52,LS10 2,MUSIC,OutofHours,OutofHours
19/03/2017 11:05,LS8 3,,OutofHours,OutofHours
19/03/2017 07:10,LS16 5,,OutofHours,OutofHours
19/03/2017 06:30,LS16 5,MUSIC,OutofHours,OutofHours
19/03/2017 03:54,LS6 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
19/03/2017 03:24,LS25 4,OTHER,OutofHours,OutofHours
19/03/2017 02:42,LS6 1,PARTY,OutofHours,OutofHours
19/03/2017 02:36,LS6 1,PARTY,OutofHours,OutofHours
19/03/2017 02:33,LS6 1,PARTY,OutofHours,OutofHours
19/03/2017 02:28,LS9 8,PARTY,OutofHours,OutofHours
19/03/2017 01:55,LS6 1,PARTY,OutofHours,OutofHours
19/03/2017 01:15,LS8 3,MUSIC,OutofHours,OutofHours
19/03/2017 00:58,LS6 1,PARTY,OutofHours,OutofHours
19/03/2017 00:55,LS6 3,PARTY,OutofHours,OutofHours
19/03/2017 00:35,LS1 4,PARTY,OutofHours,OutofHours
19/03/2017 00:29,WF3 1,OTHER,OutofHours,OutofHours
19/03/2017 00:13,LS14 6,MUSIC,OutofHours,OutofHours
19/03/2017 00:11,LS6 1,MUSIC,OutofHours,OutofHours
19/03/2017 00:03,LS7 1,PARTY,OutofHours,OutofHours
18/03/2017 23:53,LS13 4,MUSIC,OutofHours,OutofHours
18/03/2017 23:28,LS13 4,MUSIC,OutofHours,OutofHours
18/03/2017 23:08,LS8 5,MUSIC,OutofHours,OutofHours
18/03/2017 22:53,LS9 7,MUSIC,OutofHours,OutofHours
18/03/2017 22:12,LS10 2,MUSIC,OutofHours,OutofHours
18/03/2017 21:22,LS16 7,SHOUTING,OutofHours,OutofHours
18/03/2017 21:12,LS13 2,MUSIC,OutofHours,OutofHours
18/03/2017 21:07,LS12,DOG BARKING,OutofHours,OutofHours
18/03/2017 20:51,LS14 6,MUSIC,OutofHours,OutofHours
18/03/2017 20:44,LS17 5,MUSIC,OutofHours,OutofHours
18/03/2017 20:21,LS9 0,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
18/03/2017 20:04,LS27 8,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
18/03/2017 19:49,LS7 2,MUSIC,OutofHours,OutofHours
18/03/2017 18:57,LS10 2,MUSIC,OutofHours,OutofHours
18/03/2017 18:27,LS12 1,DOG BARKING,OutofHours,OutofHours
18/03/2017 18:25,LS9 7,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
18/03/2017 16:20,LS14 6,MUSIC,OutofHours,OutofHours
18/03/2017 10:47,LS8 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours,OutofHours
18/03/2017 09:40,LS9 6,,OutofHours,OutofHours
18/03/2017 08:18,LS6 3,MUSIC,OutofHours,OutofHours
18/03/2017 08:17,LS 8 2,,OutofHours,OutofHours
18/03/2017 07:02,LS16 5,MUSIC,OutofHours,OutofHours
18/03/2017 05:28,LS6 2,PARTY,OutofHours,OutofHours
18/03/2017 04:33,LS16 5,MUSIC,OutofHours,OutofHours
18/03/2017 04:21,LS6 1,PARTY,OutofHours,OutofHours
18/03/2017 03:53,LS9 6,MUSIC,OutofHours,OutofHours
18/03/2017 03:27,LS2 9,PARTY,OutofHours,OutofHours
18/03/2017 03:20,LS16 5,MUSIC,OutofHours,OutofHours
