Created,Caller Postcode ,Noise Type,Sr_Num ,Enq_type
09/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
09/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
09/05/2019,WF3 1,MUSIC,OutofHours ,OutofHours 
09/05/2019,LS5 3,SHOUTING,OutofHours ,OutofHours 
09/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS11 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
10/05/2019,LS9 6,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
10/05/2019,LS16 5,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
10/05/2019,LS13 3,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS26 0,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS17 5,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS15 7,SHOUTING,OutofHours ,OutofHours 
10/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS15 7,SHOUTING,OutofHours ,OutofHours 
10/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS17 5,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS12 3,TV,OutofHours ,OutofHours 
10/05/2019,LS6 1,DOG BARKING,OutofHours ,OutofHours 
10/05/2019,LS8 5,TV,OutofHours ,OutofHours 
10/05/2019,LS14 6,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS8 3,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS15 8,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
10/05/2019,LS6 1,PARTY,OutofHours ,OutofHours 
10/05/2019,LS16 7,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS12 3,SHOUTING,OutofHours ,OutofHours 
11/05/2019,LS21 2,SHOUTING,OutofHours ,OutofHours 
11/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS6 3,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS7 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
11/05/2019,,ALARM,OutofHours ,OutofHours 
11/05/2019,LS6 1,OTHER,OutofHours ,OutofHours 
11/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS16 5,SHOUTING,OutofHours ,OutofHours 
11/05/2019,LS7 3,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
11/05/2019,LS11 9,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS18 5,PARTY,OutofHours ,OutofHours 
11/05/2019,LS27 8,SHOUTING,OutofHours ,OutofHours 
11/05/2019,LS13 3,SHOUTING,OutofHours ,OutofHours 
11/05/2019,LS10 3,PARTY,OutofHours ,OutofHours 
11/05/2019,LS10 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS11 9,PARTY,OutofHours ,OutofHours 
11/05/2019,LS18 5,PARTY,OutofHours ,OutofHours 
11/05/2019,LS17 5,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
11/05/2019,LS12 6,ALARM,OutofHours ,OutofHours 
11/05/2019,LS16 5,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS11 0,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS28 5,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS2 3,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS11 9,MUSIC,OutofHours ,OutofHours 
11/05/2019,,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS9 7,SHOUTING,OutofHours ,OutofHours 
11/05/2019,LS10 2,PARTY,OutofHours ,OutofHours 
11/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
11/05/2019,LS12 1,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS8 5,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS17 5,DIY,OutofHours ,OutofHours 
12/05/2019,LS2 9,SHOUTING,OutofHours ,OutofHours 
12/05/2019,LS5 3,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS6 2,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS11 6,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS6 1,SHOUTING,OutofHours ,OutofHours 
12/05/2019,LS9 7,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS6 1,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS12 6,ALARM,OutofHours ,OutofHours 
12/05/2019,LS6 2,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS12 5,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS7 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
12/05/2019,LS11 5,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS10 4,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS13 1,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
12/05/2019,LS10 3,MUSIC,OutofHours ,OutofHours 
12/05/2019,LS9 7,SHOUTING,OutofHours ,OutofHours 
12/05/2019,LS3 1,PARTY,OutofHours ,OutofHours 
12/05/2019,LS9 9,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS9 9,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS10 4,PARTY,OutofHours ,OutofHours 
13/05/2019,LS9 6,MUSIC,OutofHours ,OutofHours 
13/05/2019,LS6 6,BANGING ON WALLS/CEILING/FLOOR,OutofHours ,OutofHours 
