Created,Caller Postcode,Noise type
21/06/2017 00:12,LS8 5,MUSIC
20/06/2017 23:36,LS10 4,MUSIC
20/06/2017 23:26,LS11 6,MUSIC
20/06/2017 22:59,LS26 8,SHOUTING
20/06/2017 22:56,LS26 0,OTHER
20/06/2017 22:51,LS9 7,BUILDING SITE
20/06/2017 22:25,LS6 4,TV
20/06/2017 20:57,LS10 2,MUSIC
20/06/2017 20:24,LS28 7J,DIY
20/06/2017 19:41,LS8 3R,DIY
20/06/2017 18:36,LS17 5B,DOG BARKING
20/06/2017 18:13,LS16 6,DOG BARKING
20/06/2017 18:08,LS14 6P,MUSIC
20/06/2017 05:20,LS8 1,BANGING ON WALLS/CEILING/FLOOR
20/06/2017 02:43,LS27 8,MUSIC
20/06/2017 02:33,LS8 2,MUSIC
20/06/2017 01:51,LS25 7,DOG BARKING
20/06/2017 01:17,LS26 0,OTHER
20/06/2017 01:07,WF3 1,OTHER
20/06/2017 00:58,LS9 7,MUSIC
20/06/2017 00:51,LS17 5,BANGING ON WALLS/CEILING/FLOOR
20/06/2017 00:50,LS9 7,MUSIC
20/06/2017 00:21,LS16 9,OTHER
19/06/2017 23:56,LS14 6,MUSIC
19/06/2017 23:54,LS9 7,MUSIC
19/06/2017 23:31,LS6 1,ALARM
19/06/2017 23:28,LS13 1,PARTY
19/06/2017 23:22,LS25 2,DOG BARKING
19/06/2017 23:08,LS14 6,MUSIC
19/06/2017 22:42,LS11 9,SHOUTING
19/06/2017 22:36,LS11 6,MUSIC
19/06/2017 22:20,LS27 8,ALARM
19/06/2017 22:06,LS8 3,OTHER
19/06/2017 21:52,LS6 1,MUSIC
19/06/2017 21:39,LS25 7,PARTY
19/06/2017 21:30,LS6 1,ALARM
19/06/2017 21:16,LS11 6,MUSIC
19/06/2017 21:02,LS27 9,PARTY
19/06/2017 20:57,LS25 2,OTHER
19/06/2017 20:51,LS25 7,PARTY
19/06/2017 20:47,LS8 5,MUSIC
19/06/2017 20:39,LS7 2,ALARM
19/06/2017 20:22,LS12 1,MUSIC
19/06/2017 19:59,LS12 4,OTHER
