Created1,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
07/08/2022,LS17 ,LS17 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/08/2022,LS12 ,LS12 2,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS11 ,LS11 0,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS16 ,LS16 8,BUILDING SITE,Out ofHours,Out ofHours
07/08/2022,LS15 ,LS15 7,BUILDING SITE,Out ofHours,Out ofHours
07/08/2022,LS11 ,LS11 5,PARTY,Out ofHours,Out ofHours
07/08/2022,WF3 ,WF3 3,NOISE ASSOCIATED WITH LICENSED PREMISES,Out ofHours,Out ofHours
07/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS11 ,LS11 5,PARTY,Out ofHours,Out ofHours
07/08/2022,LS14 ,LS14 6,MUSIC,Out ofHours,Out ofHours
07/08/2022,WF3 ,WF3 3,NOISE ASSOCIATED WITH LICENSED PREMISES,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 3,ALARM,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 3,ALARM,Out ofHours,Out ofHours
07/08/2022,WF3 ,WF3 3,OTHER,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 3,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
07/08/2022,WF3 ,WF3 3,OTHER,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 4,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/08/2022,LS2 ,LS2 7,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 3,ALARM,Out ofHours,Out ofHours
07/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 4,DOG BARKING,Out ofHours,Out ofHours
07/08/2022,LS17 ,LS17 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/08/2022,LS17 ,LS17 5,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
07/08/2022,LS27 ,LS27 0,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS6 ,LS6 1,PARTY,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS8 ,LS8 3,PARTY,Out ofHours,Out ofHours
07/08/2022,LS7 ,LS2 7,SHOUTING,Out ofHours,Out ofHours
07/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
07/08/2022,LS7,LS7 4,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS9 ,LS9 0,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS8 ,LS8 5,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS27 ,LS27 9,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS26 ,LS26 0,BUILDING SITE,Out ofHours,Out ofHours
08/08/2022,LS11 ,LS11 0,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS8 ,LS8 5,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS10 ,LS10 3,DOG BARKING,Out ofHours,Out ofHours
08/08/2022,LS9 ,LS9 7,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS6 ,LS6 2,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS12 ,LS12 4,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS12 ,LS12 2,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS11 ,LS11 6,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS9 ,LS9 9,OTHER,Out ofHours,Out ofHours
08/08/2022,LS14 ,LS14 6,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS10 ,LS10 4,DOG BARKING,Out ofHours,Out ofHours
08/08/2022,LS9 ,LS9 6,MUSIC,Out ofHours,Out ofHours
08/08/2022,LS14 ,LS14 6,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS27 ,LS27 0,DOG BARKING,Out ofHours,Out ofHours
08/08/2022,LS7 ,LS7 3,BANGING ON WALLS/CEILING/FLOOR,Out ofHours,Out ofHours
08/08/2022,LS3 ,LS3 1,SHOUTING,Out ofHours,Out ofHours
08/08/2022,LS14 ,LS14 2,PARTY,Out ofHours,Out ofHours
09/08/2022,LS8 ,LS8 3,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS6 ,LS6 1,SHOUTING,Out ofHours,Out ofHours
09/08/2022,LS11 ,LS11 6,PARTY,Out ofHours,Out ofHours
09/08/2022,LS6 ,LS6 1,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS11 ,LS11 6,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS3 ,LS3 1,MUSIC,Out ofHours,Out ofHours
09/08/2022,LS9 ,LS9 6,SHOUTING,Out ofHours,Out ofHours
