Created,Caller Postcode,Accused Postcode,Type of Noise Causing a Nuisance,Sr_Num ,Enq Type
16/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS6 ,LS6 3,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS7 ,LS7 2,Dog Barking,Out ofHours,Out ofHours
16/07/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS8 ,LS8,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS6 ,LS6 1,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS13 ,LS13 2,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS1 ,LS1 4,Loud Music,Out ofHours,Out ofHours
16/07/2024,LS9 ,LS9 7,Party,Out ofHours,Out ofHours
17/07/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
17/07/2024,LS14 ,LS14 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17/07/2024,LS8 ,LS8 5,Loud Music,Out ofHours,Out ofHours
17/07/2024,LS9 ,LS9 7,Party,Out ofHours,Out ofHours
17/07/2024,LS8 ,LS8,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
17/07/2024,LS14 ,LS14 5,Loud Music,Out ofHours,Out ofHours
17/07/2024,LS6 ,LS6,Shouting,Out ofHours,Out ofHours
17/07/2024,LS14 ,LS14 5,Loud Music,Out ofHours,Out ofHours
17/07/2024,LS13 ,LS13 2,TV,Out ofHours,Out ofHours
17/07/2024,LS10 ,LS10 4,Dog Barking,Out ofHours,Out ofHours
17/07/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
18/07/2024,LS10 ,LS10 4,Shouting,Out ofHours,Out ofHours
18/07/2024,LS6 ,LS6 1,Shouting,Out ofHours,Out ofHours
18/07/2024,LS8 ,LS8 5,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
18/07/2024,LS17 ,LS17 6,Party,Out ofHours,Out ofHours
18/07/2024,LS28 ,LS28 5,Dog Barking,Out ofHours,Out ofHours
18/07/2024,LS1 ,LS1 4,Loud Music,Out ofHours,Out ofHours
18/07/2024,LS8 ,LS8 2,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
18/07/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
18/07/2024,LS16 ,LS16 6,Dog Barking,Out ofHours,Out ofHours
18/07/2024,LS7 ,LS7 2,Loud Music,Out ofHours,Out ofHours
18/07/2024,LS10 ,LS10 1,Loud Music,Out ofHours,Out ofHours
18/07/2024,LS6 ,LS6 4,DIY,Out ofHours,Out ofHours
18/07/2024,LS28 ,LS28 9,Shouting,Out ofHours,Out ofHours
18/07/2024,LS6 ,LS6 2,Loud Music,Out ofHours,Out ofHours
18/07/2024,LS10 ,LS10 3,Shouting,Out ofHours,Out ofHours
19/07/2024,LS15 ,LS15 7,Shouting,Out ofHours,Out ofHours
19/07/2024,LS6 ,LS6,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS8 ,LS8 1,Banging On Walls/Ceiling/Floor,Out ofHours,Out ofHours
19/07/2024,LS5 ,LS5 3,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS3 ,LS3 ,Party,Out ofHours,Out ofHours
19/07/2024,LS28 ,LS28,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS12 ,LS12 5,Shouting,Out ofHours,Out ofHours
19/07/2024,LS8 ,LS8 1,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS17 ,LS17 6,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS17 ,LS17 7,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS17 ,LS17,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
19/07/2024,LS14 ,LS14 1,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS27 ,LS27 9,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS28 ,LS28 7,Loud Music,Out ofHours,Out ofHours
19/07/2024,LS19 ,LS19 7,Dog Barking,Out ofHours,Out ofHours
19/07/2024,LS9 ,LS9 6,Loud Music,Out ofHours,Out ofHours
